"gene_symbol","n_diseases","mean_score","max_score","ensembl_id","entrez_id","uniprot_ids","protein_classes","diseases","total_pmids","mean_evidence","years_studied"
"GRK3",1,0.75,0.75,"ENSG00000100077",157,"P35626; Q8N433","Kinase","Bipolar Disorders",6,1,"2003-2010"
"GRM3",2,0.75,0.8,"ENSG00000198822",2913,"A4D1D0; Q14832","G-protein coupled receptor","Schizophrenias; Bipolar Disorders",5,0.845238095238095,"2008-2015"
"GRM8",3,0.75,0.85,"ENSG00000179603",2918,"O00222","G-protein coupled receptor","Schizophrenias; Childhood autism; Anxiety Disorder",3,0.791666666666667,"2003-2007"
"HLA-C",1,0.75,0.75,"ENSG00000204525",3107,"P10321; Q6R739; O19617; Q95HC2","","Schizophrenias",2,0.870967741935484,"2012-2014"
"HOMER1",2,0.75,0.75,"ENSG00000152413",9456,"Q5U5K4; Q86YM7","","Schizophrenias; Depression",7,0.89010989010989,"2003-2012"
"HSPA1B",1,0.75,0.75,"ENSG00000204388",3304,"A8K5I0; P0DMV9; P0DMV8","","Schizophrenias",2,1,"2005-2008"
"IL12B",1,0.75,0.75,"ENSG00000113302",3593,"P29460","Signaling","Schizophrenias",1,1,"2008-2008"
"IL18R1",1,0.75,0.75,"ENSG00000115604",8809,"Q13478","Receptor","Schizophrenias",1,1,"2007-2007"
"JUN",1,0.75,0.75,"ENSG00000177606",3725,"P05412","Transcription factor","Schizophrenias",2,1,"2003-2004"
"KCNH2",1,0.75,0.75,"ENSG00000055118",3757,"A0A090N7W1; Q12809; A0A090N8Q0; Q15BH2; A0A090N7X5","Ion channel","Schizophrenias",4,1,"2009-2013"
"MAG",1,0.75,0.75,"ENSG00000105695",4099,"Q53ES7; P20916","Receptor","Schizophrenias",2,0.666666666666667,"2005-2007"
"MAGEL2",1,0.75,0.75,"ENSG00000254585",54551,"Q9UJ55","Cell adhesion","Childhood autism",3,1,"2013-2021"
"MAPT",1,0.75,0.75,"ENSG00000186868",4137,"B3KTM0; P10636","","Anxiety Disorder",1,0.884615384615385,"2018-2018"
"MEF2C",1,0.75,0.75,"ENSG00000081189",4208,"Q06413; D8L7E9","Transcription factor","Childhood autism",1,1,"2009-2009"
"MET",2,0.75,0.85,"ENSG00000105976",4233,"E6Y365; B4DLF5; P08581","Kinase","Childhood autism; Schizophrenias",3,0.967741935483871,"2006-2011"
"NDE1",1,0.75,0.75,"ENSG00000072864",54820,"Q9NXR1; X5DP35; X5DR54","","Schizophrenias",4,0.818181818181818,"2007-2010"
"NF1",1,0.75,0.75,"ENSG00000196712",4763,"P21359","Enzyme modulator","Childhood autism",1,1,"2004-2004"
"NGF",2,0.75,0.9,"ENSG00000134259",4803,"A0A346FYQ1; P01138","Signaling","Depression; Bipolar Disorders",1,0.8875,"NA-NA"
"NGFR",2,0.75,0.85,"ENSG00000064300",4804,"P08138","Receptor","Depression; Schizophrenias",2,1,"2005-2008"
"NLGN4X",1,0.75,0.75,"ENSG00000146938",57502,"A8K4S1; Q8N0W4; B3KP11","","Childhood autism",0,0.885714285714286,"NA-NA"
"NOS1AP",1,0.75,0.75,"ENSG00000198929",9722,"O75052","Signaling","Schizophrenias",2,0.888888888888889,"2010-2014"
"NOTCH4",2,0.75,0.9,"ENSG00000204301",4855,"Q99466; A0A1U9X983","","Schizophrenias; Bipolar Disorders",6,0.755,"2002-2015"
"NPAS3",2,0.75,0.85,"ENSG00000151322",64067,"Q8IXF0; X5D988; X5D2Q4","Transcription factor","Schizophrenias; Bipolar Disorders",9,0.871212121212121,"2009-2018"
"NR1D1",1,0.75,0.75,"ENSG00000126368",9572,"F1D8S3; P20393","Nuclear receptor","Bipolar Disorders",5,0.909090909090909,"2010-2014"
"NTRK1",2,0.75,0.85,"ENSG00000198400",4914,"P04629; X5DR71","Kinase","Schizophrenias; Bipolar Disorders",2,0.958333333333333,"2004-2004"
"NTS",2,0.75,0.75,"ENSG00000133636",4922,"Q6FH20; P30990","","Schizophrenias; Depression",5,0.678571428571429,"2010-2015"
"OLIG2",1,0.75,0.75,"ENSG00000205927",10215,"Q13516","Enzyme","Schizophrenias",3,0.857142857142857,"2008-2009"
"OPCML",1,0.75,0.75,"ENSG00000183715",4978,"B2CZX3; B7ZLQ0; A8K0Y0; Q14982","","Schizophrenias",1,0.857142857142857,"2012-2012"
"P2RX7",2,0.75,0.75,"ENSG00000089041",5027,"Q99572","Ion channel","Bipolar Disorders; Depression",9,0.925112612612613,"2009-2013"
"PAK1",1,0.75,0.75,"ENSG00000149269",5058,"Q13153","Kinase","Schizophrenias",0,1,"NA-NA"
"PCM1",1,0.75,0.75,"ENSG00000078674",5108,"A2RUU9; B9EIS5; Q15154","","Schizophrenias",1,0.8,"2010-2010"
"PDLIM5",2,0.75,0.75,"ENSG00000163110",10611,"B7Z8X5; Q96HC4; B7Z481","Cellular structure","Bipolar Disorders; Schizophrenias",7,0.846153846153846,"2006-2014"
"PIK3CA",1,0.75,0.75,"ENSG00000121879",5290,"P42336; Q4LE51","Kinase","Schizophrenias",1,0.928571428571429,"2010-2010"
"PIK3CG",1,0.75,0.75,"ENSG00000105851",5294,"P48736; A8K9G9","Kinase","Childhood autism",1,0.9,"2003-2003"
"PLXNA2",1,0.75,0.75,"ENSG00000076356",5362,"O75051","","Schizophrenias",1,0.909090909090909,"2008-2008"
"PRL",2,0.75,0.8,"ENSG00000172179",5617,"Q5I0G2; P01236; Q5THQ0","Signaling","Schizophrenias; Childhood autism",2,0.905555555555556,"2008-2012"
"PTCHD1",1,0.75,0.75,"ENSG00000165186",139411,"Q96NR3; X5DNX9","Receptor","Childhood autism",1,1,"2011-2011"
"PTPN5",1,0.75,0.75,"ENSG00000110786",84867,"P54829; B7Z2F8; Q86TL3","","Schizophrenias",2,1,"2012-2012"
"PVALB",2,0.75,0.85,"ENSG00000100362",5816,"P20472","Calcium-binding protein","Schizophrenias; Bipolar Disorders",2,0.955056179775281,"2004-2004"
"RBFOX1",2,0.75,0.8,"ENSG00000078328",54715,"B7Z1U7; Q9NWB1; Q59HD3","Nucleic acid binding","Childhood autism; Schizophrenias",7,0.901785714285714,"2007-2021"
"REN",2,0.75,0.9,"ENSG00000143839",5972,"P00797","Enzyme","Depression; Bipolar Disorders",6,1,"2005-2012"
"RGS4",1,0.75,0.75,"ENSG00000117152",5999,"P49798","Enzyme modulator","Bipolar Disorders",4,0.727272727272727,"2007-2010"
"RPL10",1,0.75,0.75,"ENSG00000147403",6134,"X5D2T3; P27635","Nucleic acid binding","Childhood autism",1,1,"2006-2006"
"RTN4",1,0.75,0.75,"ENSG00000115310",57142,"Q9NQC3","","Schizophrenias",1,0.8,"2010-2010"
"SCN1A",1,0.75,0.75,"ENSG00000144285",6323,"P35498","Ion channel","Childhood autism",2,0.947368421052632,"2020-2021"
"SCT",1,0.75,0.75,"ENSG00000070031",6343,"P09683","","Childhood autism",4,0.8125,"2003-2006"
"SDF4",1,0.75,0.75,"ENSG00000078808",51150,"Q9BRK5","Calcium-binding protein","Schizophrenias",1,1,"2011-2011"
"SLC6A8",1,0.75,0.75,"ENSG00000130821",6535,"X5D9C4; Q59EV7; P48029","Transporter","Childhood autism",1,0.928571428571429,"2007-2007"
"SLC6A9",1,0.75,0.75,"ENSG00000196517",6536,"B7Z589; P48067; B7Z3W8","Transporter","Schizophrenias",2,0.888888888888889,"2009-2011"
"SLC9A9",1,0.75,0.75,"ENSG00000181804",285195,"Q8IVB4","Transporter","Childhood autism",1,1,"2008-2008"
"SNAP25",2,0.75,0.8,"ENSG00000132639",6616,"P60880","Transporter","Bipolar Disorders; Depression",6,0.833333333333333,"2004-2014"
"SREBF1",1,0.75,0.75,"ENSG00000072310",6720,"P36956; B3KR77","","Schizophrenias",1,0.9,"2010-2010"
"SULT4A1",1,0.75,0.75,"ENSG00000130540",25830,"Q9BR01; B7Z2E1","","Schizophrenias",3,0.9,"2005-2008"
"SV2A",1,0.75,0.75,"ENSG00000159164",9900,"Q7L0J3; B4E000","Transporter","Schizophrenias",1,1,"2012-2012"
"SYP",1,0.75,0.75,"ENSG00000102003",6855,"P08247","Transporter","Schizophrenias",1,0.766666666666667,"2001-2001"
"TCF4",2,0.75,0.85,"ENSG00000196628",6925,"A0A1B0GWD5; P15884; H3BPJ7; E9PH57; B3KVA4; A0A1B0GW91; H3BTP3","Transcription factor","Schizophrenias; Bipolar Disorders",7,0.858573717948718,"2000-2014"
"TPH1",3,0.75,0.85,"ENSG00000129167",7166,"P17752","","Depression; Schizophrenias; Bipolar Disorders",10,0.845238095238095,"2005-2014"
"TRH",1,0.75,0.75,"ENSG00000170893",7200,"P20396","","Depression",5,0.714285714285714,"1989-2014"
"TRPM2",1,0.75,0.75,"ENSG00000142185",7226,"B4DVI8; Q14DR2; O94759","Ion channel","Bipolar Disorders",1,0.833333333333333,"2013-2013"
"TTR",1,0.75,0.75,"ENSG00000118271",7276,"E9KL36; P02766","Transporter","Depression",5,0.833333333333333,"1985-2009"
"UFD1",1,0.75,0.75,"ENSG00000070010",7353,"Q92890; Q541A5","","Schizophrenias",2,1,"2008-2013"
"WNT2",1,0.75,0.75,"ENSG00000105989",7472,"A0A384MDX3; P09544","Signaling","Childhood autism",2,0.7,"2001-2010"
"ZDHHC8",1,0.75,0.75,"ENSG00000099904",29801,"Q9ULC8","","Schizophrenias",1,0.785714285714286,"2007-2007"
"NRXN1",4,0.7375,0.9,"ENSG00000179915",9378,"A0A0D9SEM5; A0A1D5RMU6; H7BYC7; E7EQN4; E7ERL8; Q9ULB1; H0Y568; P58400; A0A0D9SEQ7","","Schizophrenias; Childhood autism; Depression; Bipolar Disorders",13,0.983333333333333,"2007-2021"
"PTGS2",3,0.733333333333333,0.8,"ENSG00000073756",5743,"P35354","Enzyme","Schizophrenias; Depression; Childhood autism",8,0.945887445887446,"2004-2013"
"SLC6A2",3,0.733333333333333,0.9,"ENSG00000103546",6530,"P23975","Transporter","Depression; Schizophrenias; Bipolar Disorders",7,0.714285714285714,"2002-2015"
"APOE",3,0.733333333333333,0.85,"ENSG00000130203",348,"P02649; A0A0S2Z3D5","","Anxiety Disorder; Schizophrenias; Bipolar Disorders",3,0.709267040149393,"2008-2020"
"CREB1",3,0.733333333333333,0.9,"ENSG00000118260",1385,"B7Z5C6; Q5U0J5; Q53X93; P16220","","Depression; Schizophrenias; Bipolar Disorders",9,0.917777777777778,"1999-2014"
"ESR1",3,0.733333333333333,0.85,"ENSG00000091831",2099,"A0A125SXW3; H0Y4W6; P03372; Q9UBT1; A8KAF4; G4XH65","Nuclear receptor","Schizophrenias; Depression; Bipolar Disorders",14,0.867383512544803,"2000-2013"
"GRM7",3,0.733333333333333,0.85,"ENSG00000196277",2917,"Q59G95; B2R693; B9EGG9; Q14831","G-protein coupled receptor","Schizophrenias; Depression; Bipolar Disorders",11,0.917283950617284,"2008-2015"
"HTR7",3,0.733333333333333,0.85,"ENSG00000148680",3363,"P34969","G-protein coupled receptor","Depression; Schizophrenias; Anxiety Disorder",8,0.873015873015873,"2002-2013"
"SLC18A1",3,0.733333333333333,0.85,"ENSG00000036565",6570,"Q96GL6; P54219","Transporter","Schizophrenias; Bipolar Disorders; Depression",6,0.966666666666667,"2006-2010"
"ADNP",2,0.725,0.8,"ENSG00000101126",23394,"Q6DHZ8; Q9H2P0","","Childhood autism; Schizophrenias",3,0.944444444444444,"2014-2022"
"EHMT1",2,0.725,0.8,"ENSG00000181090",79813,"Q9H9B1; A0A1B0GV09","Epigenetic regulator","Childhood autism; Schizophrenias",1,0.9,"NA-NA"
"GLUL",2,0.725,0.8,"ENSG00000135821",2752,"A8YXX4; P15104","Enzyme","Schizophrenias; Depression",3,0.9,"2005-2011"
"GRM1",2,0.725,0.8,"ENSG00000152822",2911,"Q59HC2; Q13255","G-protein coupled receptor","Schizophrenias; Depression",7,1,"2001-2014"
"NRG3",2,0.725,0.8,"ENSG00000185737",10718,"P56975; B3KVG8; B9EGV5","Signaling","Schizophrenias; Bipolar Disorders",2,0.9,"2010-2013"
"NRGN",2,0.725,0.8,"ENSG00000154146",4900,"Q92686","","Schizophrenias; Bipolar Disorders",2,0.825,"2008-2011"
"PRKN",2,0.725,0.8,"ENSG00000185345",5071,"O60260; X5DR79","Enzyme","Childhood autism; Schizophrenias",6,0.9375,"2009-2021"
"ADRA2A",2,0.725,0.75,"ENSG00000150594",150,"P08913","G-protein coupled receptor","Schizophrenias; Depression",5,0.860576923076923,"2001-2014"
"AGT",2,0.725,0.85,"ENSG00000135744",183,"B2R5S1; B0ZBE2; P01019","Enzyme modulator","Depression; Bipolar Disorders",7,0.961538461538462,"2000-2014"
"AVPR1A",2,0.725,0.75,"ENSG00000166148",552,"P37288; X5D2B0","G-protein coupled receptor","Childhood autism; Schizophrenias",2,0.787878787878788,"2006-2007"
"CNTF",2,0.725,0.75,"ENSG00000242689",1270,"P26441","","Depression; Schizophrenias",5,0.718181818181818,"2004-2012"
"IL2",2,0.725,0.85,"ENSG00000109471",3558,"Q0GK43; P60568","","Schizophrenias; Childhood autism",5,0.816666666666667,"2006-2013"
"IL4",2,0.725,0.85,"ENSG00000113520",3565,"Q5FC01; P05112; D4HNR6","","Schizophrenias; Childhood autism",3,0.75,"2006-2011"
"KCNN3",2,0.725,0.85,"ENSG00000143603",3782,"Q9UGI6; A0A087WYJ0","Ion channel","Schizophrenias; Bipolar Disorders",6,0.707142857142857,"2001-2006"
"MMP9",2,0.725,0.85,"ENSG00000100985",4318,"P14780","Enzyme","Schizophrenias; Bipolar Disorders",3,0.93421052631579,"2009-2011"
"NCAN",2,0.725,0.85,"ENSG00000130287",1463,"Q4LE67; O14594","Extracellular structure","Bipolar Disorders; Schizophrenias",9,0.91812865497076,"2012-2019"
"NTF3",2,0.725,0.85,"ENSG00000185652",4908,"P20783","Signaling","Schizophrenias; Childhood autism",2,0.640625,"2006-2008"
"PLA2G1B",2,0.725,0.85,"ENSG00000170890",5319,"P04054","Enzyme","Schizophrenias; Bipolar Disorders",6,0.802083333333333,"1995-2007"
"PTEN",2,0.725,0.85,"ENSG00000171862",5728,"P60484; F6KD01","Enzyme","Childhood autism; Schizophrenias",5,0.85387323943662,"NA-NA"
"TACR1",2,0.725,0.75,"ENSG00000115353",6869,"P25103","G-protein coupled receptor","Depression; Bipolar Disorders",7,1,"2003-2014"
"TLR4",2,0.725,0.75,"ENSG00000136869",7099,"O00206","","Schizophrenias; Bipolar Disorders",2,1,"2013-2014"
"ADCYAP1",3,0.716666666666667,0.75,"ENSG00000141433",116,"P18509; B7Z222","Signaling","Depression; Schizophrenias; Bipolar Disorders",10,0.911111111111111,"2008-2014"
"ADORA2A",3,0.716666666666667,0.75,"ENSG00000128271",135,"A8K1F6; P29274; B3KVQ4; X5DNB4","G-protein coupled receptor","Anxiety Disorder; Schizophrenias; Depression",8,0.897058823529412,"2003-2017"
"CHRM2",3,0.716666666666667,0.75,"ENSG00000181072",1129,"Q6SL56; A4D1Q0; Q86SJ1; P08172; Q6SL59","G-protein coupled receptor","Schizophrenias; Bipolar Disorders; Depression",6,0.902777777777778,"2002-2011"
"DAOA-AS1",3,0.716666666666667,0.75,"ENSG00000232307",282706,"","","Schizophrenias; Bipolar Disorders; Depression",10,0.793771043771044,"2006-2014"
"GAP43",3,0.716666666666667,0.75,"ENSG00000172020",2596,"Q5U058; P17677","","Depression; Bipolar Disorders; Schizophrenias",6,0.869281045751634,"1998-2012"
"PDYN",3,0.716666666666667,0.8,"ENSG00000101327",5173,"P01213","Signaling","Depression; Schizophrenias; Bipolar Disorders",7,0.709356725146199,"2002-2014"
"SLC18A2",3,0.716666666666667,0.8,"ENSG00000165646",6571,"Q05940","Transporter","Depression; Schizophrenias; Bipolar Disorders",11,0.948717948717949,"2006-2013"
"MAOB",4,0.7125,0.85,"ENSG00000069535",4129,"B7Z242; P27338","","Depression; Schizophrenias; Childhood autism; Bipolar Disorders",7,0.829802955665025,"1997-2012"
"DNMT1",3,0.7,0.8,"ENSG00000130816",1786,"P26358; Q59FP7; I6L9H2","Epigenetic regulator","Schizophrenias; Anxiety Disorder; Bipolar Disorders",7,0.866300366300366,"2005-2014"
"GRID1",3,0.7,0.8,"ENSG00000182771",2894,"A8KAN9; Q9ULK0","Ion channel","Schizophrenias; Depression; Bipolar Disorders",9,0.972222222222222,"2007-2013"
"ADCY2",1,0.7,0.7,"ENSG00000078295",108,"Q08462; Q71UM8","","Bipolar Disorders",2,1,"2014-2019"
"AGER",1,0.7,0.7,"ENSG00000204305",177,"B4DNX3; Q15109; A0A1U9X785","Receptor","Schizophrenias",1,1,"2012-2012"
"AHI1",2,0.7,0.75,"ENSG00000135541",54806,"A0A7P0T7Z8; Q8NER0; Q8N157","","Schizophrenias; Childhood autism",2,1,"2008-2010"
"AMBRA1",1,0.7,0.7,"ENSG00000110497",55626,"Q9C0C7; A0A075B6T1","","Schizophrenias",1,1,"2013-2013"
"ATP1A3",2,0.7,0.75,"ENSG00000105409",478,"P13637; Q53ES0","Transporter","Bipolar Disorders; Depression",2,0.75,"1998-2011"
"AUTS2",2,0.7,0.75,"ENSG00000158321",26053,"Q8WXX7","","Childhood autism; Schizophrenias",3,0.888571428571429,"2011-2021"
"AVPR1B",1,0.7,0.7,"ENSG00000198049",553,"P47901","G-protein coupled receptor","Bipolar Disorders",1,0.8,"2012-2012"
"B3GAT2",1,0.7,0.7,"ENSG00000112309",135152,"Q9NPZ5","Enzyme","Schizophrenias",1,0.5,"2011-2011"
"BACE1",1,0.7,0.7,"ENSG00000186318",23621,"P56817; Q5W9H2; B7Z3Z4; B7Z3K2","Enzyme","Schizophrenias",1,0.818181818181818,"2009-2009"
"BAIAP2",1,0.7,0.7,"ENSG00000175866",10458,"Q9UQB8","Receptor","Attention Deficit Disorder with Hyperactivity",3,1,"2009-2016"
"BECN1",1,0.7,0.7,"ENSG00000126581",8678,"Q14457; A0A024R1X5; B4DQ36; W0FFG4; E7EV84","Enzyme modulator","Schizophrenias",1,0.75,"2015-2015"
"BMAL1",2,0.7,0.75,"ENSG00000133794",406,"A0A669KBF4; O00327; B2RCL8; A0A140VKD3","Transcription factor","Bipolar Disorders; Depression",8,1,"2008-2014"
"C9orf72",1,0.7,0.7,"ENSG00000147894",203228,"Q96LT7","","Schizophrenias",1,0.666666666666667,"2014-2014"
"CACNA1I",1,0.7,0.7,"ENSG00000100346",8911,"Q9P0X4","Ion channel","Schizophrenias",0,1,"NA-NA"
"CALY",1,0.7,0.7,"ENSG00000130643",50632,"Q9NYX4","","Schizophrenias",1,1,"2004-2004"
"CARTPT",2,0.7,0.75,"ENSG00000164326",9607,"Q16568","","Anxiety Disorder; Depression",5,0.909090909090909,"2003-2013"
"CNNM2",1,0.7,0.7,"ENSG00000148842",54805,"Q9H8M5","","Schizophrenias",2,0.9375,"2013-2014"
"CREBBP",1,0.7,0.7,"ENSG00000005339",1387,"Q92793","","Childhood autism",2,1,"2020-2021"
"CRHBP",1,0.7,0.7,"ENSG00000145708",1393,"P24387","Signaling","Depression",2,1,"1996-2007"
"CSF2",1,0.7,0.7,"ENSG00000164400",1437,"P04141","Signaling","Schizophrenias",1,0.885714285714286,"2007-2007"
"CTNNA2",1,0.7,0.7,"ENSG00000066032",1496,"P26232; Q49AD3; F6KRI5","Cellular structure","Schizophrenias",1,1,"2008-2008"
"CYP3A4",1,0.7,0.7,"ENSG00000160868",1576,"Q6GRK0; P08684","Enzyme","Schizophrenias",1,0.857142857142857,"2009-2009"
"CYP3A5",1,0.7,0.7,"ENSG00000106258",1577,"B7Z3P6; P20815","Enzyme","Schizophrenias",3,1,"2008-2010"
"DBH",2,0.7,0.7,"ENSG00000123454",1621,"P09172","","Bipolar Disorders; Depression",10,0.961538461538462,"1994-2013"
"DDC",1,0.7,0.7,"ENSG00000132437",1644,"Q53Y41; A0A0S2Z3N4; A0A087WV24; P20711","","Bipolar Disorders",2,0.8,"1999-2003"
"DHCR7",1,0.7,0.7,"ENSG00000172893",1717,"A0A024R5F7; Q9UBM7","Enzyme","Childhood autism",1,1,"2003-2003"
"DISC2",1,0.7,0.7,"",27184,"","","Schizophrenias",0,1,"NA-NA"
"DNMT3B",1,0.7,0.7,"ENSG00000088305",1789,"Q9UBC3","","Schizophrenias",1,0.888888888888889,"2014-2014"
"DRD1",4,0.7,0.75,"ENSG00000184845",1812,"P21728","G-protein coupled receptor","Schizophrenias; Bipolar Disorders; Depression; Childhood autism",11,0.86158005075582,"2007-2015"
"EEF1A2",1,0.7,0.7,"ENSG00000101210",1917,"Q05639","Enzyme","Childhood autism",1,1,"2021-2021"
"EIF4E",1,0.7,0.7,"ENSG00000151247",1977,"P06730; D6RBW1; X5D7E3; Q32Q75","Nucleic acid binding","Childhood autism",0,0.8,"NA-NA"
"FADS2",2,0.7,0.75,"ENSG00000134824",9415,"O95864","","Bipolar Disorders; Schizophrenias",3,1,"2009-2019"
"FGF1",1,0.7,0.7,"ENSG00000113578",2246,"P05230; Q16089; A0A7U3JVZ2; A8K147","Signaling","Schizophrenias",0,1,"NA-NA"
"FOLH1",2,0.7,0.85,"ENSG00000086205",2346,"Q04609","Enzyme","Schizophrenias; Depression",3,1,"2004-2009"
"FYN",2,0.7,0.8,"ENSG00000010810",2534,"P06241","Kinase","Schizophrenias; Bipolar Disorders",3,0.909090909090909,"2009-2009"
"GNAS",1,0.7,0.7,"ENSG00000087460",2778,"Q5FWY2; Q14455; B0AZR9; Q5JWF2; A0A0S2Z3H8; O95467; Q5JWD1; P63092; P84996; A0A590UJF0; A0A7I2V5R6; A0A0S2Z3S5","Enzyme modulator","Schizophrenias",1,1,"2006-2006"
"GNB5",1,0.7,0.7,"ENSG00000069966",10681,"O14775","Enzyme","Attention Deficit Disorder with Hyperactivity",0,1,"NA-NA"
"GPM6A",1,0.7,0.7,"ENSG00000150625",2823,"P51674","Cellular structure","Schizophrenias",1,1,"2008-2008"
"GRIA2",2,0.7,0.75,"ENSG00000120251",2891,"P42262","Ion channel","Schizophrenias; Bipolar Disorders",3,0.80625,"2007-2009"
"GRIA4",1,0.7,0.7,"ENSG00000152578",2893,"A0A994J6J2; P48058; Q1WWK6; A0A8D9PH77","Ion channel","Schizophrenias",1,0.625,"2006-2006"
"GRIK3",2,0.7,0.75,"ENSG00000163873",2899,"Q13003","Ion channel","Schizophrenias; Depression",4,0.880952380952381,"2009-2010"
"GRIK4",2,0.7,0.75,"ENSG00000149403",2900,"A6H8K8; Q16099; B2RAP6; A0A8D9UJ88; A0A8D9PH79","Ion channel","Schizophrenias; Bipolar Disorders",7,0.884615384615385,"2006-2013"
"HPS4",1,0.7,0.7,"ENSG00000100099",89781,"Q6P1K3; A8K2E6; Q9NQG7; A0A8V8TN06","","Schizophrenias",2,1,"2013-2013"
"HSPA1L",1,0.7,0.7,"ENSG00000204390",3305,"P34931; A0A1U9X7W7","","Schizophrenias",2,0.8,"2008-2009"
"IMPA2",3,0.7,0.85,"ENSG00000141401",3613,"O14732","Enzyme","Bipolar Disorders; Schizophrenias; Depression",6,0.495833333333333,"2001-2010"
"LAMB1",1,0.7,0.7,"ENSG00000091136",3912,"Q8TAS6; P07942","Enzyme modulator","Childhood autism",1,1,"2005-2005"
"LRRTM1",1,0.7,0.7,"ENSG00000162951",347730,"Q86UE6","Receptor","Schizophrenias",2,0.875,"2007-2014"
"MAP2",1,0.7,0.7,"ENSG00000078018",4133,"A0A024R3Z1; P11137; Q6NYC5","","Bipolar Disorders",1,1,"2004-2004"
"MAP2K7",1,0.7,0.7,"ENSG00000076984",5609,"O14733; B4DV95","Kinase","Schizophrenias",1,1,"2012-2012"
"MAP6",1,0.7,0.7,"ENSG00000171533",4135,"Q96JE9","","Schizophrenias",4,1,"2010-2014"
"MBD2",1,0.7,0.7,"ENSG00000134046",8932,"Q9UBB5","Epigenetic regulator","Schizophrenias",1,1,"2014-2014"
"MBL2",1,0.7,0.7,"ENSG00000165471",4153,"P11226","Receptor","Bipolar Disorders",1,1,"2014-2014"
"MED15",1,0.7,0.7,"ENSG00000099917",51586,"Q96RN5; Q6PKB8; G3V1P5; B7Z2H7","","Schizophrenias",1,1,"2003-2003"
"MIR137HG",1,0.7,0.7,"ENSG00000225206",400765,"","","Schizophrenias",1,1,"2015-2015"
"ND4",1,0.7,0.7,"",4538,"P03905; H9EC08","Enzyme","Schizophrenias",1,1,"2003-2003"
"NR4A2",2,0.7,0.8,"ENSG00000153234",4929,"F1D8N6; Q53EL4; P43354","Nuclear receptor","Schizophrenias; Bipolar Disorders",5,0.909090909090909,"2006-2011"
"NTRK3",1,0.7,0.7,"ENSG00000140538",4916,"O95193; X5D7M5; X5DNW6; X5D2R1; Q16288; Q96CY4; B7Z7U4","Kinase","Schizophrenias",3,0.857142857142857,"2009-2014"
"NTSR1",1,0.7,0.7,"ENSG00000101188",4923,"P30989","G-protein coupled receptor","Schizophrenias",1,1,"2010-2010"
"OPA1",1,0.7,0.7,"ENSG00000198836",4976,"E5KLK0; E5KLJ9; O60313","Enzyme modulator","Schizophrenias",2,1,"2011-2011"
"PAFAH1B1",1,0.7,0.7,"ENSG00000007168",5048,"P43034; A0A6Q8PFU3","","Schizophrenias",1,1,"2006-2006"
"PANX1",1,0.7,0.7,"ENSG00000110218",24145,"Q96RD7","Ion channel","Depression",0,1,"NA-NA"
"PDE4D",2,0.7,0.8,"ENSG00000113448",5144,"Q08499; A0A140VJR0","","Depression; Schizophrenias",3,1,"2002-2012"
"PDGFRB",1,0.7,0.7,"ENSG00000113721",5159,"P09619; Q59F04","Kinase","Schizophrenias",2,1,"2008-2011"
"PER2",2,0.7,0.75,"ENSG00000132326",8864,"O15055","Transcription factor","Depression; Bipolar Disorders",8,0.95,"2003-2013"
"PER3",2,0.7,0.75,"ENSG00000049246",8863,"A0A087WV69; A2I2N5; P56645","Transcription factor","Bipolar Disorders; Depression",7,0.916666666666667,"2009-2014"
"PICK1",1,0.7,0.7,"ENSG00000100151",9463,"Q9NRD5","Enzyme modulator","Schizophrenias",3,0.909090909090909,"2004-2006"
"PLCB1",2,0.7,0.8,"ENSG00000182621",23236,"Q9NQ66","Enzyme","Schizophrenias; Bipolar Disorders",2,0.909090909090909,"2008-2011"
"PPARGC1A",1,0.7,0.7,"ENSG00000109819",10891,"Q9UBK2","Transcription factor","Schizophrenias",1,1,"2013-2013"
"PRODH",2,0.7,0.8,"ENSG00000100033",5625,"O43272","Enzyme","Schizophrenias; Bipolar Disorders",2,0.961538461538462,"2005-2006"
"SCN2A",2,0.7,0.85,"ENSG00000136531",6326,"Q99250","Ion channel","Childhood autism; Bipolar Disorders",7,0.974358974358974,"2003-2022"
"SEMA3A",1,0.7,0.7,"ENSG00000075213",10371,"Q14563","Signaling","Schizophrenias",2,0.8,"2003-2006"
